Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:33:45)
Fra:1 Mem:52.06M (Peak 52.32M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Foundation
Fra:1 Mem:57.95M (Peak 57.95M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern cage.001
Fra:1 Mem:57.96M (Peak 57.96M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.038
Fra:1 Mem:57.95M (Peak 57.96M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern cage
Fra:1 Mem:57.95M (Peak 57.96M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.040
Fra:1 Mem:58.00M (Peak 58.00M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern cap
Fra:1 Mem:58.08M (Peak 58.08M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.041
Fra:1 Mem:58.08M (Peak 58.08M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern glass
Fra:1 Mem:58.10M (Peak 58.10M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.042
Fra:1 Mem:58.19M (Peak 58.19M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern base
Fra:1 Mem:58.16M (Peak 58.19M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.043
Fra:1 Mem:58.24M (Peak 58.24M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.044
Fra:1 Mem:58.25M (Peak 58.25M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.016
Fra:1 Mem:58.25M (Peak 58.25M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.017
Fra:1 Mem:58.35M (Peak 58.35M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.018
Fra:1 Mem:58.36M (Peak 58.36M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.019
Fra:1 Mem:58.38M (Peak 58.38M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.045
Fra:1 Mem:58.41M (Peak 58.41M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.046
Fra:1 Mem:58.45M (Peak 58.45M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.047
Fra:1 Mem:58.50M (Peak 58.50M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Subtle damp boot mark.001
Fra:1 Mem:58.53M (Peak 58.53M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.048
Fra:1 Mem:58.52M (Peak 58.53M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.050
Fra:1 Mem:58.61M (Peak 58.61M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.051
Fra:1 Mem:58.59M (Peak 58.61M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Subtle damp boot mark
Fra:1 Mem:58.60M (Peak 58.61M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.052
Fra:1 Mem:58.71M (Peak 58.71M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Boot wiping mat
Fra:1 Mem:58.68M (Peak 58.71M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.021
Fra:1 Mem:58.69M (Peak 58.71M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.022
Fra:1 Mem:58.78M (Peak 58.78M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.023
Fra:1 Mem:58.76M (Peak 58.78M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.054
Fra:1 Mem:58.85M (Peak 58.85M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.055
Fra:1 Mem:58.85M (Peak 58.85M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Furled umbrella.003
Fra:1 Mem:58.88M (Peak 58.88M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.056
Fra:1 Mem:58.88M (Peak 58.88M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.057
Fra:1 Mem:58.96M (Peak 58.96M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.058
Fra:1 Mem:58.99M (Peak 58.99M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Furled umbrella.002
Fra:1 Mem:59.00M (Peak 59.00M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.060
Fra:1 Mem:59.10M (Peak 59.10M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.061
Fra:1 Mem:59.09M (Peak 59.10M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Furled umbrella.001
Fra:1 Mem:59.09M (Peak 59.10M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.062
Fra:1 Mem:59.14M (Peak 59.14M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.024
Fra:1 Mem:59.15M (Peak 59.15M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.025
Fra:1 Mem:59.19M (Peak 59.19M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.026
Fra:1 Mem:59.20M (Peak 59.20M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Furled umbrella
Fra:1 Mem:59.23M (Peak 59.23M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.027
Fra:1 Mem:59.30M (Peak 59.30M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.063
Fra:1 Mem:59.31M (Peak 59.32M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Umbrella stand dark interior
Fra:1 Mem:59.36M (Peak 59.36M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.064
Fra:1 Mem:59.33M (Peak 59.36M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.066
Fra:1 Mem:59.33M (Peak 59.36M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.067
Fra:1 Mem:59.41M (Peak 59.41M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Umbrella stand
Fra:1 Mem:59.49M (Peak 59.49M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.068
Fra:1 Mem:59.50M (Peak 59.50M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.069
Fra:1 Mem:59.51M (Peak 59.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.071
Fra:1 Mem:59.54M (Peak 59.54M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.028
Fra:1 Mem:59.55M (Peak 59.55M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.029
Fra:1 Mem:59.57M (Peak 59.57M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.030
Fra:1 Mem:59.63M (Peak 59.63M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.031
Fra:1 Mem:59.68M (Peak 59.68M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Speaking tube mouthpiece
Fra:1 Mem:59.73M (Peak 59.73M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.072
Fra:1 Mem:59.74M (Peak 59.74M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Conduit bracket.003
Fra:1 Mem:59.73M (Peak 59.74M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.073
Fra:1 Mem:59.79M (Peak 59.79M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.074
Fra:1 Mem:59.78M (Peak 59.79M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.075
Fra:1 Mem:59.83M (Peak 59.83M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.076
Fra:1 Mem:59.86M (Peak 59.86M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.077
Fra:1 Mem:59.92M (Peak 59.92M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.078
Fra:1 Mem:59.91M (Peak 59.92M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Conduit bracket.002
Fra:1 Mem:59.94M (Peak 59.94M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.079
Fra:1 Mem:60.00M (Peak 60.00M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.080
Fra:1 Mem:59.96M (Peak 60.00M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.032
Fra:1 Mem:59.96M (Peak 60.00M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.033
Fra:1 Mem:60.00M (Peak 60.00M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.034
Fra:1 Mem:59.99M (Peak 60.00M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.035
Fra:1 Mem:60.01M (Peak 60.01M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Conduit bracket.001
Fra:1 Mem:60.03M (Peak 60.03M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.036
Fra:1 Mem:60.06M (Peak 60.06M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.037
Fra:1 Mem:60.07M (Peak 60.07M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.082
Fra:1 Mem:60.21M (Peak 60.21M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.083
Fra:1 Mem:60.16M (Peak 60.21M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Conduit bracket
Fra:1 Mem:60.18M (Peak 60.21M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.084
Fra:1 Mem:60.21M (Peak 60.21M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.085
Fra:1 Mem:60.29M (Peak 60.29M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.086
Fra:1 Mem:60.25M (Peak 60.29M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.087
Fra:1 Mem:60.31M (Peak 60.31M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.088
Fra:1 Mem:60.29M (Peak 60.31M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.089
Fra:1 Mem:60.32M (Peak 60.32M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.029
Fra:1 Mem:60.30M (Peak 60.32M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.038
Fra:1 Mem:60.34M (Peak 60.34M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.028
Fra:1 Mem:60.37M (Peak 60.37M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.027
Fra:1 Mem:60.36M (Peak 60.37M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.026
Fra:1 Mem:60.37M (Peak 60.37M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.039
Fra:1 Mem:60.39M (Peak 60.39M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.025
Fra:1 Mem:60.37M (Peak 60.39M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.040
Fra:1 Mem:60.40M (Peak 60.40M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster pin.005
Fra:1 Mem:60.41M (Peak 60.41M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.041
Fra:1 Mem:60.42M (Peak 60.42M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.042
Fra:1 Mem:60.45M (Peak 60.45M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.043
Fra:1 Mem:60.54M (Peak 60.54M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North pilaster
Fra:1 Mem:60.52M (Peak 60.54M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North capital
Fra:1 Mem:60.54M (Peak 60.54M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North pilaster.001
Fra:1 Mem:60.58M (Peak 60.58M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North capital.001
Fra:1 Mem:60.62M (Peak 60.62M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North pilaster.002
Fra:1 Mem:60.62M (Peak 60.62M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.024
Fra:1 Mem:60.64M (Peak 60.64M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North capital.002
Fra:1 Mem:60.67M (Peak 60.67M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.023
Fra:1 Mem:60.66M (Peak 60.67M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.022
Fra:1 Mem:60.68M (Peak 60.68M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North capital.003
Fra:1 Mem:60.68M (Peak 60.68M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.021
Fra:1 Mem:60.70M (Peak 60.70M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North coping
Fra:1 Mem:60.72M (Peak 60.72M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.020
Fra:1 Mem:60.74M (Peak 60.74M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster pin.004
Fra:1 Mem:60.74M (Peak 60.74M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | East cutaway sill
Fra:1 Mem:60.73M (Peak 60.74M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | South cutaway sill
Fra:1 Mem:60.78M (Peak 60.78M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | South cutaway sill.001
Fra:1 Mem:60.80M (Peak 60.80M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Public service sheet.004
Fra:1 Mem:60.80M (Peak 60.80M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Brass main door
Fra:1 Mem:60.78M (Peak 60.80M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door jamb
Fra:1 Mem:60.82M (Peak 60.82M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door jamb.001
Fra:1 Mem:60.92M (Peak 60.92M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door lintel
Fra:1 Mem:60.94M (Peak 60.94M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door rivet
Fra:1 Mem:60.96M (Peak 60.96M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door rivet.001
Fra:1 Mem:60.93M (Peak 60.96M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door rivet.003
Fra:1 Mem:60.97M (Peak 60.97M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door rivet.004
Fra:1 Mem:60.96M (Peak 60.97M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.018
Fra:1 Mem:60.99M (Peak 60.99M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door rivet.007
Fra:1 Mem:60.99M (Peak 60.99M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.017
Fra:1 Mem:61.01M (Peak 61.01M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door rivet.009
Fra:1 Mem:61.03M (Peak 61.03M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door rivet.010
Fra:1 Mem:61.07M (Peak 61.07M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door rivet.011
Fra:1 Mem:61.12M (Peak 61.12M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.015
Fra:1 Mem:61.13M (Peak 61.13M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door rivet.012
Fra:1 Mem:61.14M (Peak 61.14M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door hinge
Fra:1 Mem:61.21M (Peak 61.21M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door hinge.001
Fra:1 Mem:61.24M (Peak 61.24M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door wheel hub
Fra:1 Mem:61.27M (Peak 61.27M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Public service sheet.003
Fra:1 Mem:61.31M (Peak 61.31M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Brass hand wheel
Fra:1 Mem:61.35M (Peak 61.35M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Service hatch frame
Fra:1 Mem:61.42M (Peak 61.42M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Service hatch face
Fra:1 Mem:61.45M (Peak 61.45M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Service ventilation slat
Fra:1 Mem:61.51M (Peak 61.51M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Service ventilation slat.001
Fra:1 Mem:61.52M (Peak 61.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Service ventilation slat.002
Fra:1 Mem:61.55M (Peak 61.55M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Service ventilation slat.003
Fra:1 Mem:61.57M (Peak 61.57M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.012
Fra:1 Mem:61.61M (Peak 61.61M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Service ventilation slat.004
Fra:1 Mem:61.61M (Peak 61.61M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.011
Fra:1 Mem:61.63M (Peak 61.63M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.010
Fra:1 Mem:61.64M (Peak 61.64M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster oak frame
Fra:1 Mem:61.66M (Peak 61.66M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster pin.002
Fra:1 Mem:61.67M (Peak 61.67M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Public service sheet
Fra:1 Mem:61.69M (Peak 61.69M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Public service sheet.002
Fra:1 Mem:61.70M (Peak 61.70M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster pin
Fra:1 Mem:61.73M (Peak 61.73M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line
Fra:1 Mem:61.73M (Peak 61.73M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.001
Fra:1 Mem:61.75M (Peak 61.75M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.002
Fra:1 Mem:61.73M (Peak 61.75M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.003
Fra:1 Mem:61.72M (Peak 61.75M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Public service sheet.001
Fra:1 Mem:61.71M (Peak 61.75M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.005
Fra:1 Mem:61.74M (Peak 61.75M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.006
Fra:1 Mem:61.76M (Peak 61.76M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.007
Fra:1 Mem:61.74M (Peak 61.76M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.008
Fra:1 Mem:61.74M (Peak 61.76M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:40.57M (Peak 61.76M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:40.57M (Peak 61.76M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:40.57M (Peak 61.76M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:40.57M (Peak 61.76M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:40.66M (Peak 67.73M) | Time:00:00.31 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:40.66M (Peak 67.73M) | Time:00:00.31 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Background
Fra:1 Mem:40.66M (Peak 67.73M) | Time:00:00.31 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:40.66M (Peak 67.73M) | Time:00:00.31 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:40.66M (Peak 67.73M) | Time:00:00.31 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:40.66M (Peak 67.73M) | Time:00:00.31 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:40.75M (Peak 67.73M) | Time:00:00.31 | Mem:0.10M, Peak:0.10M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:40.75M (Peak 67.73M) | Time:00:00.31 | Mem:0.10M, Peak:0.10M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
